                          Bigram                Count          Probability
                      Richard W.                    2         5.3314376E-4
                         W. Lock                    1          3.558086E-4
                          Lock ,                    1         3.5669698E-4
                       , retired                    4           6.55308E-4
                    retired vice                    1         3.5618877E-4
                  vice president                   11         0.0021193924
                   president and                   45          0.008075843
                   and treasurer                    2          4.774789E-4
                    treasurer of                    1          3.565698E-4
               of Owens-Illinois                    1          3.056235E-4
             Owens-Illinois Inc.                    1         3.5669698E-4
                          Inc. ,                   30         0.0054799365
                           , was                   51          0.006815203
                       was named                   42         0.0074381595
                         named a                   10         0.0019424333
                      a director                   24          0.004040078
                     director of                   20          0.003716814
                         of this                   53          0.008251834
             this transportation                    2         5.2659295E-4
         transportation industry                    1          3.564427E-4
               industry supplier                    1         3.5599858E-4
                      supplier ,                    1         3.5669698E-4
                    , increasing                   13         0.0018348624
                  increasing its                    3          7.117438E-4
                       its board                   34          0.006102877
                        board to                   19          0.003348962
                          to six                    5          9.592326E-4
                     six members                    2          5.342832E-4
                         John J.                    2         5.3106743E-4
                       J. Phelan                    1         3.5511365E-4
                      Phelan Jr.                    1          3.565698E-4
                           Jr. ,                   27          0.004969826
                      , chairman                  187           0.02463958
                     chairman of                  225          0.036688313
                          of the                  266          0.040800735
                         the Big                    4           7.10631E-4
                       Big Board                    5         0.0010691376
                         Board ,                    3         7.1123755E-4
                       , asserts                    1          2.621232E-4
                    asserts that                    1         3.5669698E-4
                         that ``                    7         0.0013644892
                         `` 1988                    1         3.4164675E-4
                        1988 and                    1          3.565698E-4
                        and 1989                    1         3.1831927E-4
                       1989 have                    1          3.566334E-4
                       have been                    7         0.0014124294
                        been two                    1          3.543586E-4
                          two of                    1          3.548616E-4
                          of the                  266          0.040800735
                       the least                    2         4.2637862E-4
                  least volatile                    1          3.563792E-4
                  volatile years                    1         3.5669698E-4
                        years in                    1          3.536068E-4
                          in the                   92          0.015590947
                        the last                    4           7.10631E-4
                         last 30                    1          3.546728E-4
                           30 or                    1          3.565698E-4
                           or 40                    1         3.5323208E-4
                        40 years                    2          5.348547E-4
                           '' In                    4          8.551394E-4
                      In January                    2          5.309734E-4
                       January ,                    3          7.127584E-4
                      , American                    1          2.621232E-4
                American Medical                    2         5.3304905E-4
                 Medical brought                    1          3.566334E-4
                      brought in                    1         3.5650624E-4
                            in a                   23         0.0040234705
                           a new                   20         0.0033936652
                       new chief                    3         7.0521864E-4
                 chief executive                  164          0.028467909
               executive officer                  114          0.019844694
                       officer ,                   56          0.009928584
                       , Richard                    2          3.931848E-4
                      Richard A.                    1          3.554292E-4
                    A. Gilleland                    1          3.554292E-4
                     Gilleland ,                    1         3.5669698E-4
                            , 45                    3          5.242464E-4
                            45 ,                    1          3.564427E-4
