                          Bigram               Count*          Probability
                      Richard W.            1.5078534         5.5178152E-5
                         W. Lock           0.42362073         1.5501912E-5
                          Lock ,           0.42362073         1.5501912E-5
                       , retired            3.1762295         1.1623045E-4
                    retired vice           0.42362073         1.5501912E-5
                  vice president            13.090909          4.790467E-4
                   president and             47.02222         0.0017207238
                   and treasurer            1.5078534         5.5178152E-5
                    treasurer of           0.42362073         1.5501912E-5
               of Owens-Illinois           0.42362073         1.5501912E-5
             Owens-Illinois Inc.           0.42362073         1.5501912E-5
                          Inc. ,                  0.0                  0.0
                           , was            53.019608         0.0019401913
                       was named             44.02381         0.0016110005
                         named a                 8.47          3.099499E-4
                      a director            26.041666          9.529647E-4
                     director of                 14.7         5.3792953E-4
                         of this                  0.0                  0.0
             this transportation            1.5078534         5.5178152E-5
         transportation industry           0.42362073         1.5501912E-5
               industry supplier           0.42362073         1.5501912E-5
                      supplier ,           0.42362073         1.5501912E-5
                    , increasing            4.7115383          1.724133E-4
                  increasing its            2.5416667          9.300936E-5
                       its board             36.02941         0.0013184547
                        board to            31.578947         0.0011555951
                          to six            4.8774195         1.7848353E-4
                     six members            1.5078534         5.5178152E-5
                         John J.            1.5078534         5.5178152E-5
                       J. Phelan           0.42362073         1.5501912E-5
                      Phelan Jr.           0.42362073         1.5501912E-5
                           Jr. ,            19.358025         7.0838456E-4
                      , chairman                  0.0                  0.0
                     chairman of                  0.0                  0.0
                          of the                  0.0                  0.0
                         the Big            3.1762295         1.1623045E-4
                       Big Board            4.8774195         1.7848353E-4
                         Board ,            2.5416667          9.300936E-5
                       , asserts           0.42362073         1.5501912E-5
                    asserts that           0.42362073         1.5501912E-5
                         that ``             6.025974         2.2051355E-4
                         `` 1988           0.42362073         1.5501912E-5
                        1988 and           0.42362073         1.5501912E-5
                        and 1989           0.42362073         1.5501912E-5
                       1989 have           0.42362073         1.5501912E-5
                       have been             6.025974         2.2051355E-4
                        been two           0.42362073         1.5501912E-5
                          two of           0.42362073         1.5501912E-5
                          of the                  0.0                  0.0
                       the least            1.5078534         5.5178152E-5
                  least volatile           0.42362073         1.5501912E-5
                  volatile years           0.42362073         1.5501912E-5
                        years in           0.42362073         1.5501912E-5
                          in the                  0.0                  0.0
                        the last            3.1762295         1.1623045E-4
                         last 30           0.42362073         1.5501912E-5
                           30 or           0.42362073         1.5501912E-5
                           or 40           0.42362073         1.5501912E-5
                        40 years            1.5078534         5.5178152E-5
                           '' In            3.1762295         1.1623045E-4
                      In January            1.5078534         5.5178152E-5
                       January ,            2.5416667          9.300936E-5
                      , American           0.42362073         1.5501912E-5
                American Medical            1.5078534         5.5178152E-5
                 Medical brought           0.42362073         1.5501912E-5
                      brought in           0.42362073         1.5501912E-5
                            in a            31.304348         0.0011455464
                           a new                 14.7         5.3792953E-4
                       new chief            2.5416667          9.300936E-5
                 chief executive                  0.0                  0.0
               executive officer            116.00877          0.004245207
                       officer ,                  0.0                  0.0
                       , Richard            1.5078534         5.5178152E-5
                      Richard A.           0.42362073         1.5501912E-5
                    A. Gilleland           0.42362073         1.5501912E-5
                     Gilleland ,           0.42362073         1.5501912E-5
                            , 45            2.5416667          9.300936E-5
                            45 ,           0.42362073         1.5501912E-5
                           , who                  0.0                  0.0
                        who will            11.870689         4.3439417E-4
                     will remain            4.7115383          1.724133E-4
                       remain as           0.42362073         1.5501912E-5
                     as chairman               10.816         3.9579903E-4
                      chairman ,                  0.0                  0.0
                     , president                  0.0                  0.0
                   president and             47.02222         0.0017207238
                       and chief                  0.0                  0.0
                 chief executive                  0.0                  0.0
                        Ralph T.           0.42362073         1.5501912E-5
                      T. Linsley           0.42362073         1.5501912E-5
                       Linsley ,           0.42362073         1.5501912E-5
                          , vice            24.083334         8.8130176E-4
                   vice chairman                  0.0                  0.0
                     chairman of                  0.0                  0.0
                        of Eagle            1.5078534         5.5178152E-5
                         Eagle ,            1.5078534         5.5178152E-5
                          , will            5.7619047         2.1085025E-4
                     will become            11.870689         4.3439417E-4
                     become vice            2.5416667          9.300936E-5
                   vice chairman                  0.0                  0.0
                     chairman of                  0.0                  0.0
               of Webster\/Eagle           0.42362073         1.5501912E-5
